date,infected,dead,recovered,inactive,active,new,new_deaths,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
2020-07-19,40104,1623,30292,31915,8189,358.0,6.0,350.0,316.14285714285717,296.7142857142857,7.428571428571429,7.642857142857142,7.59183673469388
2020-07-20,40383,1627,30539,32166,8217,279.0,4.0,325.3333333333333,313.2857142857143,302.0,7.2857142857142865,7.642857142857142,7.489795918367349
2020-07-21,40782,1636,30771,32407,8375,399.0,9.0,345.33333333333326,332.14285714285717,312.14285714285717,6.857142857142858,7.7857142857142865,7.22448979591837
2020-07-22,41162,1642,31139,32781,8381,380.0,6.0,352.66666666666674,348.71428571428567,319.5,6.857142857142858,7.142857142857142,7.142857142857144
2020-07-23,41580,1651,31541,33192,8388,418.0,9.0,399.0,360.8571428571428,330.64285714285717,6.7142857142857135,7.142857142857142,7.020408163265308
2020-07-24,42038,1655,31997,33652,8386,458.0,4.0,418.66666666666674,375.8571428571428,344.42857142857144,6.2857142857142865,6.642857142857142,6.918367346938777
2020-07-25,42622,1664,32419,34083,8539,584.0,9.0,486.66666666666674,410.8571428571428,364.3571428571428,6.7142857142857135,6.857142857142858,6.8775510204081645
2020-07-26,43065,1671,32753,34424,8641,443.0,7.0,495.0,423.0,369.57142857142856,6.857142857142858,7.142857142857142,6.79591836734694
2020-07-27,43402,1676,32856,34532,8870,337.0,5.0,454.66666666666674,431.28571428571433,372.28571428571433,7.0,7.142857142857142,6.755102040816327
2020-07-28,43904,1682,33043,34725,9179,502.0,6.0,427.33333333333326,446.0,389.07142857142856,6.571428571428571,6.7142857142857135,6.714285714285714
2020-07-29,44416,1694,33190,34884,9532,512.0,12.0,450.33333333333326,464.8571428571428,406.78571428571433,7.428571428571429,7.142857142857142,6.795918367346942
2020-07-30,45031,1709,33643,35352,9679,615.0,15.0,543.0,493.0,426.9285714285714,8.285714285714286,7.5,7.020408163265308
2020-07-31,45688,1716,33987,35703,9985,657.0,7.0,594.6666666666666,521.4285714285714,448.6428571428572,8.714285714285714,7.5,7.367346938775513
2020-08-01,46346,1721,34374,36095,10251,658.0,5.0,643.3333333333334,532.0,471.4285714285714,8.142857142857142,7.428571428571429,7.571428571428572
2020-08-02,46894,1731,34709,36440,10454,548.0,10.0,621.0,547.0,485.0,8.571428571428571,7.7142857142857135,7.816326530612246
2020-08-03,47469,1732,34881,36613,10856,575.0,1.0,593.6666666666666,581.0,506.1428571428572,8.0,7.5,7.959183673469388
2020-08-04,48149,1738,35056,36794,11355,680.0,6.0,601.0,606.4285714285714,526.2142857142857,8.0,7.2857142857142865,8.163265306122451
2020-08-05,48789,1756,35321,37077,11712,640.0,18.0,631.6666666666666,624.7142857142858,544.7857142857143,8.857142857142858,8.142857142857142,8.367346938775514
2020-08-06,49515,1774,35642,37416,12099,726.0,18.0,682.0,640.5714285714286,566.7857142857142,9.285714285714286,8.785714285714286,8.510204081632656
2020-08-07,50324,1787,36041,37828,12496,809.0,13.0,725.0,662.2857142857142,591.8571428571429,10.142857142857142,9.428571428571429,8.714285714285719
2020-08-08,51167,1800,36403,38203,12964,843.0,13.0,792.6666666666665,688.7142857142858,610.3571428571429,11.285714285714285,9.714285714285714,9.163265306122453
2020-08-09,51791,1807,36691,38498,13293,624.0,7.0,758.6666666666665,699.5714285714287,623.2857142857142,10.857142857142858,9.714285714285714,9.489795918367351
2020-08-10,52410,1809,36877,38686,13724,619.0,2.0,695.3333333333335,705.8571428571429,643.4285714285714,11.0,9.5,9.91836734693878
2020-08-11,52961,1821,37150,38971,13990,551.0,12.0,598.0,687.4285714285713,646.9285714285714,11.857142857142858,9.928571428571429,10.469387755102046
2020-08-12,53676,1830,37611,39441,14235,715.0,9.0,628.3333333333334,698.1428571428571,661.4285714285714,10.571428571428571,9.714285714285714,10.71428571428572
2020-08-13,54487,1843,37961,39804,14683,811.0,13.0,692.3333333333335,710.2857142857142,675.4285714285714,9.857142857142858,9.571428571428571,10.795918367346943
2020-08-14,55319,1858,38362,40220,15099,832.0,15.0,786.0,713.5714285714287,687.9285714285713,10.142857142857142,10.142857142857142,10.795918367346943
2020-08-15,56090,1869,38853,40722,15368,771.0,11.0,804.6666666666665,703.2857142857142,696.0,9.857142857142858,10.571428571428571,10.591836734693883
