region,date,new,infected,new_deaths,dead,new_recoveries,recovered,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
podlaskie,2020-04-27,4,365,0,3,0,140,7.0,5.428571428571429,9.071428571428571,0.14285714285714285,0.14285714285714285,0.12244897959183673
podlaskie,2020-04-28,2,367,0,3,14,154,3.0,5.0,7.928571428571429,0.14285714285714285,0.14285714285714285,0.12244897959183673
podlaskie,2020-04-29,0,367,0,3,9,163,2.0,4.571428571428571,7.7142857142857135,0.14285714285714285,0.14285714285714285,0.12244897959183673
podlaskie,2020-04-30,8,375,0,3,14,177,3.333333333333333,4.857142857142857,6.928571428571429,0.14285714285714285,0.07142857142857142,0.14285714285714282
podlaskie,2020-05-01,0,375,1,4,19,196,2.6666666666666665,4.428571428571429,6.0,0.14285714285714285,0.14285714285714285,0.14285714285714282
podlaskie,2020-05-02,2,377,1,5,0,196,3.333333333333333,2.7142857142857144,4.357142857142857,0.2857142857142857,0.21428571428571427,0.16326530612244894
podlaskie,2020-05-03,1,378,0,5,3,199,1.0,2.4285714285714284,4.071428571428571,0.2857142857142857,0.21428571428571427,0.18367346938775508
podlaskie,2020-05-04,0,378,0,5,11,210,1.0,1.8571428571428568,3.6428571428571432,0.2857142857142857,0.21428571428571427,0.2040816326530612
podlaskie,2020-05-05,1,379,1,6,23,233,0.6666666666666666,1.7142857142857142,3.3571428571428568,0.42857142857142855,0.2857142857142857,0.24489795918367346
podlaskie,2020-05-06,1,380,0,6,10,243,0.6666666666666666,1.8571428571428568,3.2142857142857144,0.42857142857142855,0.2857142857142857,0.2857142857142857
podlaskie,2020-05-07,1,381,1,7,25,268,1.0,0.8571428571428571,2.8571428571428568,0.5714285714285714,0.35714285714285715,0.3469387755102041
podlaskie,2020-05-08,2,383,0,7,12,280,1.3333333333333333,1.1428571428571428,2.7857142857142856,0.42857142857142855,0.2857142857142857,0.38775510204081626
podlaskie,2020-05-09,0,383,0,7,0,280,1.0,0.8571428571428571,1.7857142857142858,0.2857142857142857,0.2857142857142857,0.38775510204081626
podlaskie,2020-05-10,1,384,0,7,0,280,1.0,0.8571428571428571,1.6428571428571428,0.2857142857142857,0.2857142857142857,0.38775510204081626
podlaskie,2020-05-11,0,384,0,7,23,303,0.3333333333333333,0.8571428571428571,1.3571428571428572,0.2857142857142857,0.2857142857142857,0.38775510204081626
podlaskie,2020-05-12,1,385,0,7,9,312,0.6666666666666666,0.8571428571428571,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.3469387755102041
podlaskie,2020-05-13,0,385,0,7,10,322,0.3333333333333333,0.7142857142857143,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.30612244897959184
podlaskie,2020-05-14,1,386,1,8,0,322,0.6666666666666666,0.7142857142857143,0.7857142857142857,0.14285714285714285,0.35714285714285715,0.24489795918367346
podlaskie,2020-05-15,1,387,0,8,4,326,0.6666666666666666,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.2040816326530612
podlaskie,2020-05-16,0,387,0,8,0,326,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.21428571428571427,0.18367346938775508
podlaskie,2020-05-17,1,388,1,9,0,326,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.18367346938775508
podlaskie,2020-05-18,1,389,0,9,0,326,0.6666666666666666,0.7142857142857143,0.7857142857142857,0.2857142857142857,0.2857142857142857,0.18367346938775508
podlaskie,2020-05-19,9,398,0,9,11,337,3.6666666666666665,1.8571428571428568,1.3571428571428572,0.2857142857142857,0.21428571428571427,0.2040816326530612
podlaskie,2020-05-20,7,405,0,9,4,341,5.666666666666668,2.8571428571428568,1.7857142857142858,0.2857142857142857,0.21428571428571427,0.22448979591836726
podlaskie,2020-05-21,0,405,0,9,0,341,5.333333333333333,2.7142857142857144,1.7142857142857142,0.14285714285714285,0.14285714285714285,0.22448979591836726
podlaskie,2020-05-22,6,411,0,9,4,345,4.333333333333333,3.4285714285714284,2.0,0.14285714285714285,0.14285714285714285,0.22448979591836726
podlaskie,2020-05-23,3,414,0,9,0,345,3.0,3.8571428571428568,2.2142857142857144,0.14285714285714285,0.14285714285714285,0.22448979591836726
podlaskie,2020-05-24,4,418,0,9,0,345,4.333333333333333,4.285714285714286,2.4285714285714284,0.0,0.14285714285714285,0.18367346938775508
podlaskie,2020-05-25,5,423,0,9,8,353,4.0,4.857142857142857,2.7857142857142856,0.0,0.14285714285714285,0.14285714285714285
podlaskie,2020-05-26,7,430,0,9,6,359,5.333333333333333,4.571428571428571,3.2142857142857144,0.0,0.14285714285714285,0.1020408163265306
podlaskie,2020-05-27,9,439,0,9,0,359,7.0,4.857142857142857,3.8571428571428568,0.0,0.14285714285714285,0.061224489795918366
podlaskie,2020-05-28,3,442,0,9,2,361,6.333333333333332,5.285714285714286,4.0,0.0,0.07142857142857142,0.040816326530612235
podlaskie,2020-05-29,3,445,0,9,4,365,5.0,4.857142857142857,4.142857142857143,0.0,0.07142857142857142,0.020408163265306117
podlaskie,2020-05-30,4,449,0,9,0,365,3.333333333333333,5.0,4.428571428571429,0.0,0.07142857142857142,0.0
podlaskie,2020-05-31,1,450,0,9,0,365,2.6666666666666665,4.571428571428571,4.428571428571429,0.0,0.0,0.0
podlaskie,2020-06-01,8,458,0,9,4,369,4.333333333333333,5.0,4.928571428571429,0.0,0.0,0.0
podlaskie,2020-06-02,5,463,0,9,5,374,4.666666666666667,4.714285714285714,4.642857142857143,0.0,0.0,0.0
podlaskie,2020-06-03,10,473,0,9,0,374,7.666666666666668,4.857142857142857,4.857142857142857,0.0,0.0,0.0
podlaskie,2020-06-04,12,485,0,9,9,383,9.0,6.142857142857142,5.7142857142857135,0.0,0.0,0.0
podlaskie,2020-06-05,8,493,0,9,0,383,10.0,6.857142857142858,5.857142857142858,0.0,0.0,0.0
podlaskie,2020-06-06,4,497,0,9,0,383,8.0,6.857142857142858,5.928571428571429,0.0,0.0,0.0
podlaskie,2020-06-07,21,518,0,9,0,383,11.0,9.714285714285714,7.142857142857142,0.0,0.0,0.0
podlaskie,2020-06-08,6,524,0,9,0,383,10.333333333333334,9.428571428571429,7.2142857142857135,0.0,0.0,0.0
podlaskie,2020-06-09,15,539,0,9,7,390,14.0,10.857142857142858,7.7857142857142865,0.0,0.0,0.0
podlaskie,2020-06-10,11,550,0,9,0,390,10.666666666666666,11.0,7.928571428571429,0.0,0.0,0.0
podlaskie,2020-06-11,9,559,0,9,0,390,11.666666666666664,10.571428571428571,8.357142857142858,0.0,0.0,0.0
podlaskie,2020-06-12,17,576,0,9,0,390,12.333333333333336,11.857142857142858,9.357142857142858,0.0,0.0,0.0
podlaskie,2020-06-13,9,585,0,9,11,401,11.666666666666664,12.571428571428573,9.714285714285714,0.0,0.0,0.0
podlaskie,2020-06-14,23,608,0,9,0,401,16.333333333333332,12.857142857142858,11.285714285714285,0.0,0.0,0.0
podlaskie,2020-06-15,13,621,0,9,0,401,15.0,13.857142857142858,11.642857142857142,0.0,0.0,0.0
podlaskie,2020-06-16,7,628,0,9,3,404,14.333333333333336,12.714285714285715,11.785714285714285,0.0,0.0,0.0
podlaskie,2020-06-17,18,646,0,9,3,407,12.666666666666664,13.714285714285715,12.357142857142858,0.0,0.0,0.0
podlaskie,2020-06-18,13,659,0,9,0,407,12.666666666666664,14.285714285714285,12.428571428571427,0.0,0.0,0.0
podlaskie,2020-06-19,14,673,1,10,11,418,15.0,13.857142857142858,12.857142857142858,0.14285714285714285,0.07142857142857142,0.020408163265306117
podlaskie,2020-06-20,15,688,0,10,0,418,14.0,14.714285714285715,13.642857142857142,0.14285714285714285,0.07142857142857142,0.040816326530612235
podlaskie,2020-06-21,15,703,0,10,0,418,14.666666666666664,13.571428571428573,13.214285714285715,0.14285714285714285,0.07142857142857142,0.061224489795918366
podlaskie,2020-06-22,23,726,0,10,0,418,17.666666666666668,15.0,14.428571428571427,0.14285714285714285,0.07142857142857142,0.08163265306122447
podlaskie,2020-06-23,10,736,0,10,17,435,16.0,15.428571428571427,14.071428571428573,0.14285714285714285,0.07142857142857142,0.1020408163265306
podlaskie,2020-06-24,13,749,0,10,0,435,15.333333333333336,14.714285714285715,14.214285714285715,0.14285714285714285,0.07142857142857142,0.12244897959183673
podlaskie,2020-06-25,14,763,0,10,3,438,12.333333333333336,14.857142857142858,14.571428571428573,0.14285714285714285,0.07142857142857142,0.14285714285714282
podlaskie,2020-06-26,15,778,0,10,9,447,14.0,15.0,14.428571428571427,0.0,0.07142857142857142,0.12244897959183673
